
Model: AMCNet Num. Parameters: 462553

Training epochs..: 1it [00:33, 33.25s/it]
loss: 1.386883  [    0/2840000]


















































Training epochs..: 51it [08:59,  5.85s/it]




































Training epochs..: 951it [1:26:53,  4.96s/it]
loss: 0.731741  [486400/2840000]


















































Training epochs..: 1001it [1:31:01,  5.07s/it]
loss: 0.834154  [512000/2840000]

















































Training epochs..: 1050it [1:35:06,  5.03s/it]
loss: 0.698096  [537600/2840000]


















































Training epochs..: 1100it [1:39:18,  5.01s/it]
loss: 0.721776  [563200/2840000]



















































Training epochs..: 1151it [1:43:35,  5.00s/it]
loss: 0.660824  [588800/2840000]

















































Training epochs..: 1200it [1:47:41,  5.09s/it]
loss: 0.705397  [614400/2840000]



















































Training epochs..: 1251it [1:51:57,  5.09s/it]
loss: 0.690912  [640000/2840000]


















































Training epochs..: 1301it [1:56:09,  5.03s/it]
loss: 0.793578  [665600/2840000]


















































Training epochs..: 1351it [2:00:21,  5.05s/it]
loss: 0.691814  [691200/2840000]


















































Training epochs..: 1401it [2:04:32,  5.09s/it]
loss: 0.729676  [716800/2840000]


















































Training epochs..: 1451it [2:08:44,  5.02s/it]
loss: 0.750540  [742400/2840000]


















































Training epochs..: 1501it [2:12:56,  5.08s/it]
loss: 0.697922  [768000/2840000]

















































Training epochs..: 1550it [2:17:01,  4.96s/it]
loss: 0.601698  [793600/2840000]


















































Training epochs..: 1600it [2:21:09,  4.88s/it]
loss: 0.662632  [819200/2840000]



















































Training epochs..: 1651it [2:25:23,  5.05s/it]
loss: 0.637512  [844800/2840000]

















































Training epochs..: 1700it [2:29:27,  5.02s/it]
loss: 0.705615  [870400/2840000]



















































Training epochs..: 1751it [2:33:42,  4.98s/it]
loss: 0.683254  [896000/2840000]


















































Training epochs..: 1801it [2:37:52,  5.06s/it]
loss: 0.746087  [921600/2840000]


















































Training epochs..: 1851it [2:42:00,  4.94s/it]
loss: 0.645649  [947200/2840000]


















































Training epochs..: 1901it [2:46:10,  4.99s/it]
loss: 0.621789  [972800/2840000]

















































Training epochs..: 1950it [2:50:16,  4.99s/it]
loss: 0.577806  [998400/2840000]



















































Training epochs..: 2001it [2:54:30,  4.96s/it]
loss: 0.718640  [1024000/2840000]


















































Training epochs..: 2051it [2:58:39,  4.94s/it]
loss: 0.691225  [1049600/2840000]


















































Training epochs..: 2101it [3:02:49,  5.06s/it]
loss: 0.672599  [1075200/2840000]


















































Training epochs..: 2151it [3:06:56,  4.94s/it]
loss: 0.628115  [1100800/2840000]


















































Training epochs..: 2201it [3:11:05,  4.94s/it]
loss: 0.694892  [1126400/2840000]

















































Training epochs..: 2250it [3:15:08,  5.05s/it]
loss: 0.625326  [1152000/2840000]



















































Training epochs..: 2301it [3:19:23,  5.02s/it]
loss: 0.642292  [1177600/2840000]


















































Training epochs..: 2351it [3:23:30,  5.02s/it]
loss: 0.685970  [1203200/2840000]


















































Training epochs..: 2401it [3:27:39,  4.91s/it]
loss: 0.685720  [1228800/2840000]


















































Training epochs..: 2451it [3:31:48,  4.96s/it]
loss: 0.615108  [1254400/2840000]


















































Training epochs..: 2501it [3:35:58,  5.04s/it]
loss: 0.574656  [1280000/2840000]


















































Training epochs..: 2551it [3:40:07,  4.96s/it]
loss: 0.633923  [1305600/2840000]


















































Training epochs..: 2601it [3:44:16,  5.02s/it]
loss: 0.664607  [1331200/2840000]


















































Training epochs..: 2651it [3:48:24,  5.00s/it]
loss: 0.636436  [1356800/2840000]


















































Training epochs..: 2701it [3:52:33,  4.95s/it]
loss: 0.697634  [1382400/2840000]


















































Training epochs..: 2751it [3:56:40,  5.01s/it]
loss: 0.688997  [1408000/2840000]


















































Training epochs..: 2801it [4:00:50,  5.11s/it]
loss: 0.643867  [1433600/2840000]


















































Training epochs..: 2851it [4:04:59,  5.11s/it]
loss: 0.596837  [1459200/2840000]


















































Training epochs..: 2901it [4:09:09,  4.99s/it]
loss: 0.667506  [1484800/2840000]


















































Training epochs..: 2951it [4:13:18,  4.99s/it]
loss: 0.604373  [1510400/2840000]


















































Training epochs..: 3001it [4:17:28,  5.06s/it]
loss: 0.657532  [1536000/2840000]


















































Training epochs..: 3051it [4:21:37,  5.03s/it]
loss: 0.620999  [1561600/2840000]


















































Training epochs..: 3101it [4:25:48,  5.13s/it]
loss: 0.674634  [1587200/2840000]


















































Training epochs..: 3151it [4:29:56,  4.94s/it]
loss: 0.650481  [1612800/2840000]


















































Training epochs..: 3201it [4:34:06,  5.04s/it]
loss: 0.586294  [1638400/2840000]


















































Training epochs..: 3251it [4:38:16,  4.94s/it]
loss: 0.664814  [1664000/2840000]


















































Training epochs..: 3301it [4:42:27,  4.99s/it]
loss: 0.674271  [1689600/2840000]


















































Training epochs..: 3351it [4:46:37,  4.99s/it]
loss: 0.646848  [1715200/2840000]


















































Training epochs..: 3401it [4:50:46,  4.99s/it]
loss: 0.629760  [1740800/2840000]

















































Training epochs..: 3450it [4:54:50,  4.96s/it]
loss: 0.616521  [1766400/2840000]


















































Training epochs..: 3500it [4:58:59,  4.99s/it]
loss: 0.680919  [1792000/2840000]


















































Training epochs..: 3550it [5:03:07,  4.93s/it]
loss: 0.657932  [1817600/2840000]


















































Training epochs..: 3600it [5:07:17,  5.04s/it]
loss: 0.611906  [1843200/2840000]


















































Training epochs..: 3650it [5:11:27,  4.96s/it]
loss: 0.620802  [1868800/2840000]


















































Training epochs..: 3700it [5:15:36,  4.92s/it]
loss: 0.628254  [1894400/2840000]


















































Training epochs..: 3750it [5:19:46,  4.97s/it]
loss: 0.665934  [1920000/2840000]


















































Training epochs..: 3800it [5:23:55,  4.99s/it]
loss: 0.638211  [1945600/2840000]



















































Training epochs..: 3851it [5:28:08,  5.02s/it]
loss: 0.658447  [1971200/2840000]

















































Training epochs..: 3900it [5:32:11,  4.99s/it]
loss: 0.668688  [1996800/2840000]


















































Training epochs..: 3950it [5:36:21,  4.99s/it]
loss: 0.629621  [2022400/2840000]


















































Training epochs..: 4000it [5:40:30,  5.04s/it]
loss: 0.625841  [2048000/2840000]


















































Training epochs..: 4050it [5:44:40,  5.06s/it]
loss: 0.634657  [2073600/2840000]



















































Training epochs..: 4101it [5:48:56,  5.00s/it]
loss: 0.642443  [2099200/2840000]

















































Training epochs..: 4150it [5:53:00,  4.95s/it]
loss: 0.642801  [2124800/2840000]


















































Training epochs..: 4200it [5:57:10,  5.03s/it]
loss: 0.572837  [2150400/2840000]


















































Training epochs..: 4250it [6:01:18,  4.94s/it]
loss: 0.608375  [2176000/2840000]


















































Training epochs..: 4300it [6:05:28,  5.00s/it]
loss: 0.645416  [2201600/2840000]


















































Training epochs..: 4350it [6:09:38,  4.94s/it]
loss: 0.588188  [2227200/2840000]


















































Training epochs..: 4400it [6:13:48,  4.94s/it]
loss: 0.637185  [2252800/2840000]


















































Training epochs..: 4450it [6:17:58,  5.09s/it]
loss: 0.731923  [2278400/2840000]


















































Training epochs..: 4500it [6:22:07,  4.92s/it]
loss: 0.631476  [2304000/2840000]



















































Training epochs..: 4551it [6:26:22,  4.96s/it]
loss: 0.682808  [2329600/2840000]

















































Training epochs..: 4600it [6:30:27,  4.96s/it]
loss: 0.673637  [2355200/2840000]


















































Training epochs..: 4650it [6:34:37,  4.99s/it]
loss: 0.693948  [2380800/2840000]


















































Training epochs..: 4700it [6:38:46,  5.00s/it]
loss: 0.697041  [2406400/2840000]


















































Training epochs..: 4750it [6:42:56,  4.98s/it]
loss: 0.655907  [2432000/2840000]


















































Training epochs..: 4800it [6:47:02,  4.88s/it]
loss: 0.714198  [2457600/2840000]


















































Training epochs..: 4850it [6:51:11,  4.94s/it]
loss: 0.627396  [2483200/2840000]


















































Training epochs..: 4900it [6:55:19,  5.03s/it]
loss: 0.680413  [2508800/2840000]


















































Training epochs..: 4950it [6:59:29,  5.02s/it]
loss: 0.616634  [2534400/2840000]


















































Training epochs..: 5000it [7:03:38,  5.07s/it]
loss: 0.730860  [2560000/2840000]


















































Training epochs..: 5050it [7:07:48,  5.02s/it]
loss: 0.615542  [2585600/2840000]



















































Training epochs..: 5101it [7:12:02,  5.03s/it]
loss: 0.698135  [2611200/2840000]

















































Training epochs..: 5150it [7:16:06,  5.03s/it]
loss: 0.594244  [2636800/2840000]


















































Training epochs..: 5200it [7:20:15,  5.03s/it]
loss: 0.706453  [2662400/2840000]


















































Training epochs..: 5250it [7:24:26,  5.07s/it]
loss: 0.678611  [2688000/2840000]


















































Training epochs..: 5300it [7:28:35,  5.01s/it]
loss: 0.679626  [2713600/2840000]



















































Training epochs..: 5351it [7:32:50,  5.09s/it]
loss: 0.624198  [2739200/2840000]

















































Training epochs..: 5400it [7:36:54,  5.03s/it]
loss: 0.673428  [2764800/2840000]



















































Training epochs..: 5451it [7:41:10,  5.03s/it]
loss: 0.661218  [2790400/2840000]

















































Training epochs..: 5500it [7:45:15,  5.00s/it]
loss: 0.667730  [2816000/2840000]














































Training epochs..: 5546it [7:49:03,  5.00s/it]
Train Error:

Training epochs..: 5547it [7:49:08,  5.07s/it]
Test Error:
 Accuracy: 71.4%, Avg loss: 0.620891
Training epochs..: 0it [00:00, ?it/s]
loss: 0.657947  [    0/2840000]


















































Training epochs..: 50it [04:09,  4.97s/it]
loss: 0.569471  [25600/2840000]


















































Training epochs..: 100it [08:19,  5.06s/it]
loss: 0.602608  [51200/2840000]


















































Training epochs..: 150it [12:27,  4.98s/it]
loss: 0.650535  [76800/2840000]


















































Training epochs..: 200it [16:36,  4.96s/it]
loss: 0.610305  [102400/2840000]



















































Training epochs..: 251it [20:50,  5.04s/it]
loss: 0.589267  [128000/2840000]


















































Training epochs..: 301it [24:58,  5.00s/it]
loss: 0.592112  [153600/2840000]

















































Training epochs..: 350it [29:02,  4.93s/it]
loss: 0.612160  [179200/2840000]


















































Training epochs..: 400it [33:11,  4.98s/it]
loss: 0.640688  [204800/2840000]


















































Training epochs..: 450it [37:19,  4.90s/it]
loss: 0.593381  [230400/2840000]


















































Training epochs..: 500it [41:29,  5.04s/it]
loss: 0.569334  [256000/2840000]


















































Training epochs..: 550it [45:37,  4.92s/it]
loss: 0.608808  [281600/2840000]



















































Training epochs..: 601it [49:50,  4.93s/it]
loss: 0.655877  [307200/2840000]

















































Training epochs..: 650it [53:54,  4.95s/it]
loss: 0.693353  [332800/2840000]


















































Training epochs..: 700it [58:03,  5.00s/it]
loss: 0.596052  [358400/2840000]



















































Training epochs..: 751it [1:02:17,  5.05s/it]
loss: 0.659865  [384000/2840000]

















































Training epochs..: 800it [1:06:21,  5.01s/it]
loss: 0.648623  [409600/2840000]


















































Training epochs..: 850it [1:10:31,  5.13s/it]
loss: 0.592097  [435200/2840000]



















































Training epochs..: 901it [1:14:45,  5.11s/it]
loss: 0.600159  [460800/2840000]


















































Training epochs..: 951it [1:18:56,  5.02s/it]
loss: 0.617859  [486400/2840000]

















































Training epochs..: 1000it [1:23:00,  4.94s/it]
loss: 0.589265  [512000/2840000]


















































Training epochs..: 1050it [1:27:08,  4.97s/it]
loss: 0.669470  [537600/2840000]


















































Training epochs..: 1100it [1:31:16,  4.99s/it]
loss: 0.575095  [563200/2840000]


















































Training epochs..: 1150it [1:35:25,  4.95s/it]
loss: 0.618311  [588800/2840000]


















































Training epochs..: 1200it [1:39:33,  4.91s/it]
loss: 0.596484  [614400/2840000]


















































Training epochs..: 1250it [1:43:43,  5.03s/it]
loss: 0.606779  [640000/2840000]


















































Training epochs..: 1300it [1:47:52,  4.91s/it]
loss: 0.669770  [665600/2840000]


















































Training epochs..: 1350it [1:52:01,  4.94s/it]
loss: 0.571798  [691200/2840000]


















































Training epochs..: 1400it [1:56:10,  4.92s/it]
loss: 0.609764  [716800/2840000]


















































Training epochs..: 1450it [2:00:18,  4.98s/it]
loss: 0.714334  [742400/2840000]



















































Training epochs..: 1501it [2:04:32,  4.98s/it]
loss: 0.591264  [768000/2840000]


















































Training epochs..: 1551it [2:08:41,  4.96s/it]
loss: 0.625716  [793600/2840000]


















































Training epochs..: 1601it [2:12:49,  4.99s/it]
loss: 0.606427  [819200/2840000]

















































Training epochs..: 1650it [2:16:54,  4.97s/it]
loss: 0.593284  [844800/2840000]


















































Training epochs..: 1700it [2:21:04,  5.03s/it]
loss: 0.595287  [870400/2840000]


















































